TRT,YR,ST,REP,Total Available Nitrogen (TAN),Available Inorganic Nitrogen (AIN),Mineralized Organic Nitrogen (biological N),Total Available Nitrogen (WEN),Water Extractable Organic Nitrogen (WEON),Total Inorganic Nitrogen (TIN),NO3-N,NH4-N, $ of Nitrogen Saved ,Total Available P as P2O5,Total Available Phosphorus as P,Available Inorganic P as P2O5 ,Available Inorganic P,Mineralized Organic P as P2O5,Mineralized Organic P as P,Available Potassium as K2O,Available Potassium as K, NPK Value as $/a ,One day respiration (Solvita CO2-C),Water Extractable Organic Carbon (WEOC),Organic C:N ratio,Organic N:P ratio,% Microbially Active Carbon,Soil Health Calculation,Aluminum,Iron,Calcium,Magnesium,Sodium,Sulfur as S,Boron,Manganese,Copper,Zinc,Calcium + Magnesium / Aluminum,% P Saturation Iron + Aluminum,% P Saturation Calcium,Ca:Mg,Plant Effective CEC (PECEC),Ca Need,Ca,Mg
5,3,1,2,25.8,9.2,16.6,14.6,10,4.6,4.1,0.5,8.98,93.8,20.5,74.7,16.3,19.1,4.2,199.2,82.7,177.55,30,144.4,14.43,1.49,20.8,6.9,159,157,378,62,10,3,0.81,57,1.25,0.68,2.77,5.16,4.31,6.1,3.25,126.9,58.2,9.6
5,3,1,3,34.8,13,21.8,17.4,10.9,6.5,6,0.5,11.78,116.6,25.4,88.4,19.3,28.2,6.2,127.2,52.8,159.56,43,161.4,14.79,1.42,26.6,8.6,91,87,315,72,9,4,0.48,27,1.35,0.73,4.25,10.84,6.13,4.38,2.68,100,58.7,13.4
6,3,1,1,38.2,16.6,21.6,19.1,10.8,8.3,7.8,0.5,11.65,109.4,23.9,94.3,20.6,15.1,3.3,170.4,70.7,179.25,42.3,169.6,15.69,2.46,24.9,8.7,121,125,393,77,9,4,0.65,49,2.34,0.85,3.88,8.37,5.24,5.1,3.27,103.9,60.1,11.8
6,3,1,2,34.6,14,20.6,17.3,10.3,7,6.5,0.5,11.13,148.1,32.3,111.3,24.3,36.8,8,182.4,75.7,208.32,39.8,129.3,12.54,1.19,30.8,7.6,127,161,470,70,10,4,0.79,59,0.9,0.89,4.25,8.44,5.17,6.71,3.64,49.4,64.6,9.6
6,3,1,3,29.9,14,15.9,16.6,9.6,7,6.5,0.5,8.56,123.4,26.9,108.1,23.6,15.3,3.3,158.4,65.7,177.45,29.4,142.6,14.84,1.78,20.6,6.8,152,197,341,55,9,3,0.76,56,0.87,0.66,2.61,6.76,6.92,6.2,2.93,114.7,58.2,9.4
7,3,1,1,33.1,13.6,19.5,16.6,9.8,6.8,6.2,0.6,10.51,81.6,17.8,66,14.4,15.7,3.4,134.4,55.8,139.98,37.5,151.2,15.41,2.13,24.8,7.8,78,98,259,39,8,2,0.4,38,0.71,0.54,3.82,8.18,5.56,6.64,2.08,48.9,62.1,9.4
7,3,1,2,33.4,10,23.4,16.7,11.7,5,4.5,0.5,12.65,129.5,28.3,109,23.8,20.5,4.5,127.2,52.8,167.07,45.8,159.7,13.64,2.25,28.7,8.9,119,107,337,87,10,3,0.44,36,0.9,0.69,3.56,10.53,7.06,3.87,3.03,149,55.7,14.4
7,3,1,3,36.2,23.2,13,19.1,7.5,11.6,11.1,0.5,7.01,112.1,24.5,90.7,19.8,21.4,4.7,177.6,73.7,183.6,36.1,167.1,22.25,1.04,21.6,7.7,157,149,376,58,9,3,0.91,44,0.74,0.66,2.76,6.47,5.27,6.48,3.17,109.7,59.3,9.2
8,3,1,1,27.4,12.6,14.8,17.2,10.9,6.3,5.8,0.5,7.97,90.6,19.8,80.2,17.5,10.5,2.3,163.2,67.7,157.62,25.6,151.4,13.88,2.42,16.9,6.7,71,60,314,74,8,5,0.45,34,0.69,0.59,5.46,13.36,5.57,4.24,2.66,94.5,59.1,13.9
8,3,1,2,29.1,8.4,20.7,14.8,10.6,4.2,3.7,0.5,11.18,123.6,27,86.1,18.8,37.5,8.2,134.4,55.8,164.72,37.6,154.2,14.53,0.95,24.4,7.9,136,138,407,60,10,4,0.65,51,2.16,0.87,3.43,6.86,4.62,6.78,3.22,62,63.2,9.3
8,3,1,3,21.2,16.6,4.6,20.9,12.6,8.3,7.8,0.5,2.49,96.9,21.2,91.6,20,5.3,1.2,127.2,52.8,139.63,9.7,225.2,17.86,1.4,4.3,6.7,72,89,339,77,10,7,0.61,33,7.37,1.28,5.78,12.42,5.9,4.4,2.78,78.2,61,13.8
9,3,1,1,44,21.6,22.4,22,11.2,10.8,10.3,0.5,12.11,91.6,20,64.6,14.1,27,5.9,129.6,53.8,149.79,50.8,136.7,12.19,1.9,37.2,8.9,82,100,346,68,10,5,0.72,40,3.92,0.88,5.05,7.75,4.08,5.09,2.78,64,62.2,12.2
9,3,1,2,43,27.6,15.4,21.5,7.7,13.8,13.3,0.5,8.33,137.4,30,109.9,24,27.5,6,211.2,87.7,220.99,54.6,139.8,18.13,1.28,39.1,9,87,109,363,60,9,5,0.52,45,3.86,1.13,4.86,12.24,6.61,6.05,2.9,62.5,62.6,10.3
9,3,1,3,37.4,19.2,18.2,18.7,9.1,9.6,9.1,0.5,9.84,151.1,33,114.5,25,36.6,8,151.2,62.8,195.56,51.6,152.8,16.77,1.14,33.8,9.1,122,124,403,62,10,6,0.64,38,3.06,0.97,3.81,10.16,6.2,6.5,3.18,60.1,63.3,9.7
10,3,1,1,29.6,18,11.6,17.5,8.5,9,8.5,0.5,6.27,105.6,23,96.2,21,9.4,2,132,54.8,152.18,29.6,173.6,20.4,2.13,17.1,7.3,76,78,326,73,9,7,0.36,36,3.57,0.84,5.25,13.64,6.44,4.47,2.7,81.6,60.4,13.5
10,3,1,2,28.6,12,16.6,14.3,8.3,6,5.5,0.5,8.97,134.7,29.4,111.8,24.4,22.9,5,139.2,57.8,174.03,36.5,144.4,17.38,1.26,25.3,7.4,133,129,415,66,10,4,0.78,41,3.23,0.91,3.62,9.31,5.88,6.29,3.3,68.9,62.8,10
10,3,1,3,28,11.6,16.4,14,8.2,5.8,5.3,0.5,8.87,133.7,29.2,111.8,24.4,21.9,4.8,165.6,68.7,186.81,49.5,173.6,21.14,1.47,28.5,9.2,121,169,400,60,10,5,0.83,55,3.22,0.95,3.8,8.41,6.1,6.67,3.16,60.6,63.2,9.5
11,3,1,1,38.8,18.6,20.2,19.4,10.1,9.3,8.4,0.9,10.92,164.9,36,114.5,25,50.4,11,156,64.8,207.61,78.6,164.9,16.31,0.92,47.7,12.2,87,122,366,53,9,5,0.66,45,4.76,1.18,4.82,11.96,6.83,6.91,2.8,28.6,65.4,9.5
11,3,1,2,35,6.8,28.2,17.5,14.1,3.4,2.9,0.5,15.24,114.5,25,91.1,19.9,23.4,5.1,151.2,62.8,170.81,63.1,149.5,10.6,2.77,42.2,10.7,86,107,351,60,10,5,0.66,43,4.46,0.98,4.78,10.31,5.67,5.85,2.78,52.9,63.2,10.8
11,3,1,3,32.2,5.8,26.4,16.1,13.2,2.9,2.4,0.5,14.27,132.8,29,105.3,23,27.5,6,136.8,56.8,173.54,45.6,128,9.69,2.2,35.6,8.4,115,120,336,66,10,4,0.72,35,3.18,0.94,3.5,9.79,6.85,5.09,2.84,100.8,59.1,11.6
12,3,1,1,33,15.4,17.6,16.5,8.8,7.7,7.2,0.5,9.51,98.9,21.6,82,17.9,16.9,3.7,132,54.8,149.77,40.9,136.1,15.45,2.15,30.1,7.7,80,84,285,69,9,6,0.46,36,3.39,0.83,4.43,10.91,6.28,4.13,2.47,102.8,57.6,13.9
12,3,1,2,35.8,17.8,18,17.9,9,8.9,8.4,0.5,9.73,182.8,39.9,143.8,31.4,39,8.5,160.8,66.7,219.94,47.1,159.4,17.69,0.94,29.5,8.8,139,143,423,80,11,7,0.84,44,4.66,1.23,3.62,11.13,7.42,5.29,3.51,109,60.2,11.4
12,3,1,3,43,22,21,21.5,10.5,11,10.5,0.5,11.35,109.9,24,72.4,15.8,37.6,8.2,136.8,56.8,164.72,51.5,143.8,13.68,1.28,35.8,9.1,84,94,300,74,9,5,0.71,36,3.21,0.98,4.45,8.88,5.27,4.05,2.61,109.9,57.5,14.2
13,3,1,1,36.8,18.8,18,18.4,9,9.4,8.5,0.9,9.73,87,19,66.9,14.6,20.2,4.4,146.4,60.8,151.7,70.3,138.8,15.41,2.05,50.6,10.7,79,84,308,74,9,5,0.6,35,4.69,0.88,4.84,8.96,4.74,4.16,2.64,102.6,58.3,14
13,3,1,2,37,12,25,18.5,12.5,6,5.2,0.8,13.51,132.8,29,113.1,24.7,19.7,4.3,144,59.8,179.88,45.4,133.9,10.7,2.91,33.9,8.5,75,105,316,60,9,5,0.54,39,8.5,1.22,5.01,13.72,7.82,5.27,2.55,61,62,11.8
13,3,1,3,34.6,13.8,20.8,17.3,10.4,6.9,6.4,0.5,11.24,98.9,21.6,72.4,15.8,26.5,5.8,184.8,76.7,178.06,37.5,140,13.45,1.45,26.8,7.6,80,112,347,53,9,4,0.7,44,3.48,0.92,5,8.23,4.55,6.55,2.71,42.2,64.1,9.8
1,3,2,1,22.6,6.4,16.2,16.9,13.7,3.2,2.7,0.5,8.76,252.1,55,223,48.7,29.1,6.3,364.8,151.4,363.26,20.9,141.3,10.31,0.96,14.8,6.3,151,148,555,91,31,52,0.43,54,1.18,1.83,4.28,16.29,8.77,6.1,4.61,144.3,60.2,9.9
1,3,2,2,16.9,7.4,9.5,12.6,8.9,3.7,1.5,2.2,5.11,173.7,37.9,140.1,30.6,33.6,7.3,230.4,95.6,240.1,15.9,119.7,13.43,0.48,13.3,4.9,247,220,553,109,30,14,0.51,56,0.89,1.81,2.68,6.55,5.53,5.07,4.96,241.9,55.8,11
1,3,2,3,23.3,4.8,18.5,14.4,12,2.4,1.6,0.8,10,173.7,37.9,135.6,29.6,38.1,8.3,264,109.6,261.05,22.9,118.8,9.89,0.83,19.3,5.9,160,137,432,76,27,35,0.34,38,0.92,1.48,3.17,9.97,6.85,5.68,3.78,164,57.2,10.1
2,3,2,1,14.1,5,9.1,13.3,10.8,2.5,2,0.5,4.9,129.9,28.3,111.8,24.4,18.2,4,194.4,80.7,191.83,12.7,121.1,11.2,0.86,10.5,4.8,170,141,595,109,27,10,0.44,44,0.94,1.25,4.14,7.85,4.1,5.46,4.83,124.2,61.6,11.3
2,3,2,2,18.9,13.6,5.3,11.3,4.5,6.8,1.1,5.7,2.86,194.6,42.5,164,35.8,30.6,6.7,160.8,66.7,218.36,13.6,92.7,20.55,0.3,14.7,3.7,184,147,464,90,25,6,0.38,44,0.76,0.95,3.01,10.82,7.72,5.16,4.03,166.8,57.6,11.2
2,3,2,3,26.7,25.8,0.9,13.5,0.6,12.9,3.7,9.2,0.5,231.5,50.5,186.9,40.8,44.6,9.7,259.2,107.6,297.37,17.6,93.2,152.79,0.04,18.9,3.7,193,174,394,81,25,32,0.43,51,0.72,1.09,2.46,11.12,10.36,4.86,3.74,228.8,52.7,10.8
3,3,2,1,18.5,8.6,9.9,13.3,9,4.3,0.9,3.4,5.37,96.5,21.1,80.6,17.6,15.9,3.5,124.8,51.8,136.69,16.8,121.8,13.52,1.07,13.8,5,73,65,457,105,26,14,0.33,27,0.83,1.01,7.7,12.75,3.85,4.35,3.67,85.3,62.2,14.3
3,3,2,2,10.8,4.2,6.6,10.4,8.3,2.1,0.5,1.6,3.58,100.6,22,88.9,19.4,11.8,2.6,112.8,46.8,128.9,10,100.4,12.08,0.97,10,3.8,71,84,427,85,22,9,0.32,29,0.59,1.25,7.21,12.52,4.54,5.02,3.32,49,64.3,12.8
3,3,2,3,20.7,9.2,11.5,15.4,10.8,4.6,1,3.6,6.23,122.1,26.6,105.8,23.1,16.3,3.6,151.2,62.8,167.96,18.6,139.5,12.9,1.21,13.3,5.7,58,73,437,90,21,13,0.3,22,0.51,1.29,9.09,17.63,5.29,4.86,3.4,50.9,64.3,13.2
4,3,2,1,18.1,7,11.1,13.6,10.1,3.5,1.1,2.4,6.01,143.6,31.3,122.3,26.7,21.4,4.7,199.2,82.7,205.3,16.9,122.9,12.16,0.89,13.8,5.2,63,71,408,69,22,9,0.3,21,0.63,1.35,7.57,19.93,6.54,5.91,3.15,42,64.7,10.9
4,3,2,2,13.9,9,4.9,12.8,8.3,4.5,0.7,3.8,2.66,78.3,17.1,71.9,15.7,6.4,1.4,112.8,46.8,116.29,9.8,132.4,15.93,1.32,7.4,4.5,62,59,330,57,20,12,0.24,23,0.52,1.23,6.24,12.98,4.76,5.79,2.56,36.3,64.5,11.1
4,3,2,3,16.1,6.8,9.3,14,10.6,3.4,2.2,1.2,5.03,248.3,54.2,224,48.9,24.3,5.3,199.2,82.7,271.17,12.3,112,10.56,0.66,11,4.5,85,88,493,91,28,40,0.34,19,0.42,1.57,6.87,28.27,9.92,5.42,3.87,66.5,63.7,11.8
5,3,2,1,39.3,22.8,16.5,28.6,17.2,11.4,10.4,1,8.93,93.9,20.5,79.7,17.4,14.2,3.1,158.4,65.7,163.69,14.6,121.6,7.07,2,12,5.6,72,67,389,65,22,20,0.29,27,0.83,0.91,6.31,12.52,4.47,5.98,3.02,42.2,64.5,10.8
5,3,2,2,22.1,8.8,13.3,14.9,10.5,4.4,2.5,1.9,7.2,79.6,17.4,64.6,14.1,15,3.3,163.2,67.7,147.76,16.9,106.6,10.14,1.52,15.9,4.9,67,54,344,63,22,38,0.2,25,0.63,0.7,6.07,11.65,4.1,5.46,2.76,62.9,62.3,11.4
5,3,2,3,13,5.6,7.4,13.3,10.5,2.8,1.3,1.5,3.97,102.9,22.5,93.9,20.5,9,2,127.2,52.8,138.99,11.7,133.8,12.73,1.4,8.7,4.9,71,55,407,82,20,15,0.27,21,0.54,0.76,6.89,16.27,5.04,4.96,3.2,56.8,63.6,12.8
6,3,2,1,17.7,7.6,10.1,12.2,8.4,3.8,1.2,2.6,5.46,114.2,24.9,98.9,21.6,15.3,3.3,96,39.8,132.59,15.7,104.4,12.41,1.14,15,4.5,63,50,364,76,19,7,0.27,22,0.9,0.78,6.98,19.12,5.93,4.79,2.87,52.5,63.4,13.2
6,3,2,2,11.7,2.4,9.3,11.3,10.1,1.2,0.7,0.5,5.04,109,23.8,93.9,20.5,15.1,3.3,122.4,50.8,139.71,14.4,124.8,12.34,1.06,11.5,4.9,86,92,431,76,21,6,0.29,38,0.76,0.83,5.9,11.52,4.76,5.67,3.33,42.6,64.8,11.4
6,3,2,3,17.2,6,11.2,12.7,9.7,3,1.2,1.8,6.02,143.9,31.4,124.6,27.2,19.3,4.2,146.4,60.8,177.5,16,111.4,11.47,0.99,14.4,4.8,89,94,332,69,22,13,0.21,32,0.98,0.81,4.51,14.86,8.19,4.81,2.81,101.2,59,12.3
7,3,2,1,19.9,7.8,12.1,14.9,11,3.9,1.9,2,6.53,85.4,18.6,71.4,15.6,14,3,134.4,55.8,135.3,19.4,141.2,12.82,1.49,13.7,5.9,71,60,415,78,19,22,0.27,25,0.79,0.84,6.94,11.91,3.76,5.32,3.21,43.5,64.6,12.1
7,3,2,2,21.7,14.2,7.5,17.2,10.1,7.1,4,3.1,4.05,132.5,28.9,120,26.2,12.5,2.7,117.6,48.8,157.67,11.6,125,12.36,1.03,9.3,4.7,83,61,444,102,22,17,0.3,24,0.54,0.87,6.58,18.19,5.9,4.35,3.6,90,61.7,14.2
7,3,2,3,29.4,17.2,12.2,18.1,9.5,8.6,5.5,3.1,6.61,104.6,22.8,91.1,19.9,13.5,2.9,170.4,70.7,171.48,18,111.8,11.76,1.56,16.1,5,69,58,298,56,21,22,0.21,21,0.7,0.63,5.13,15.67,6.68,5.32,2.48,79.4,60,11.3
8,3,2,1,15.8,9.6,6.2,14.7,9.9,4.8,1.3,3.5,3.37,133,29,124.6,27.2,8.4,1.8,88.8,36.9,139.87,12.7,161.1,16.26,1.27,7.9,5.5,85,65,389,93,17,8,0.38,33,0.76,0.98,5.67,18.13,6.99,4.18,3.2,92.5,60.8,14.5
8,3,2,2,16.7,5.6,11.1,10.9,8.1,2.8,0.9,1.9,6,81.3,17.7,65.5,14.3,15.8,3.4,86.4,35.9,105.97,21.3,124.3,15.33,1.21,17.1,5.4,83,71,363,60,18,10,0.2,28,0.61,0.67,5.1,9.29,3.94,6.05,2.79,32.9,65.1,10.8
8,3,2,3,21.1,7.6,13.5,14.3,10.5,3.8,1.7,2.1,7.29,122,26.6,103.5,22.6,18.5,4,148.8,61.8,166.87,20.9,130.2,12.39,1.25,16.1,5.7,73,80,314,53,18,18,0.2,31,0.68,0.9,5.03,14.77,7.2,5.92,2.52,56.5,62.4,10.5
9,3,2,1,17.5,5.6,11.9,14.6,11.8,2.8,1.2,1.6,6.42,91.4,19.9,82.9,18.1,8.5,1.8,93.6,38.9,116.59,20.4,162.2,13.73,2.41,12.6,6.5,67,63,294,73,17,12,0.21,25,0.77,0.82,5.48,13.92,6.16,4.03,2.5,91.4,58.8,14.6
9,3,2,2,24.4,4.2,20.2,13.1,11,2.1,1,1.1,10.93,110.7,24.2,92.1,20.1,18.6,4.1,158.4,65.7,166.4,28.6,124.5,11.31,1.87,23,6.5,63,64,294,53,16,19,0.2,27,0.7,1.01,5.51,15.83,6.84,5.55,2.38,59.8,61.7,11.1
9,3,2,3,25.6,5.8,19.8,14.6,11.7,2.9,1,1.9,10.7,147.7,32.2,126,27.5,21.8,4.8,153.6,63.8,188.25,23.3,110.2,9.41,1.56,21.1,5.7,103,90,338,70,22,26,0.22,28,0.62,0.76,3.96,14.25,8.14,4.83,2.91,115.7,58.1,12
10,3,2,1,30.7,17.2,13.5,22.8,14.2,8.6,6.8,1.8,7.31,119.6,26.1,112.2,24.5,7.4,1.6,144,59.8,168.01,15.7,131.8,9.28,3.16,11.9,5.6,79,65,286,86,18,27,0.28,32,0.74,0.8,4.71,17.01,8.57,3.33,2.67,153.8,53.6,16.1
10,3,2,2,19.4,3.8,15.6,12.3,10.4,1.9,1.3,0.6,8.43,84.6,18.5,69.6,15.2,14.9,3.3,105.6,43.8,119.51,22.1,117.9,11.33,1.79,18.7,5.6,86,72,274,56,18,6,0.2,24,0.62,0.68,3.84,9.62,5.55,4.89,2.34,89.3,58.5,12
10,3,2,3,16.2,5.8,10.4,13.5,10.6,2.9,1,1.9,5.6,103.6,22.6,92.1,20.1,11.6,2.5,141.6,58.8,148.7,15.4,126,11.88,1.54,12.2,5.1,80,95,304,57,18,21,0.2,33,0.69,0.74,4.51,11.49,6.61,5.33,2.52,76.9,60.4,11.3
11,3,2,1,27.6,7.6,20,16.6,12.8,3.8,1.6,2.2,10.81,115.7,25.3,98,21.4,17.7,3.9,127.2,52.8,155.12,28.4,145.4,11.35,1.94,19.5,7,80,77,305,67,17,8,0.23,27,0.81,0.9,4.65,13.63,7.02,4.55,2.59,93.5,59,13
11,3,2,2,19.7,5.6,14.1,12.2,9.4,2.8,1.4,1.4,7.6,99.9,21.8,87,19,12.8,2.8,108,44.8,130.7,21.5,115,12.22,1.88,18.7,5.4,78,78,325,59,17,7,0.25,31,0.76,1.82,4.92,12.18,5.85,5.51,2.59,55,62.7,11.4
11,3,2,3,27.1,16.6,10.5,16.5,8.2,8.3,5.7,2.6,5.68,93.2,20.3,82,17.9,11.2,2.5,134.4,55.8,144.19,20.8,129.8,15.81,1.61,16,5.5,83,74,365,59,15,32,0.21,26,0.58,1.42,5.11,11.4,4.9,6.19,2.83,39.7,64.5,10.4
12,3,2,1,20.1,8,12.1,13,9,4,1.8,2.2,6.51,82.2,17.9,72.8,15.9,9.4,2.1,98.4,40.8,114.64,22,131.5,14.59,2.2,16.7,5.7,72,63,301,65,16,12,0.2,27,0.72,1.41,5.08,11.78,5.28,4.63,2.49,74,60.6,13.1
12,3,2,2,23.1,10.6,12.5,13.4,8.1,5.3,3.4,1.9,6.73,137.9,30.1,113.6,24.8,24.3,5.3,148.8,61.8,178.05,22,114.6,14.13,0.88,19.2,5.3,84,74,305,63,18,20,0.2,25,0.58,1.66,4.38,15.7,8.13,4.84,2.6,95.9,58.8,12.1
12,3,2,3,20.8,7.8,13,14.3,10.4,3.9,3.3,0.6,7.03,112.7,24.6,98.9,21.6,13.7,3,208.8,86.7,191.92,19.2,122.9,11.81,1.63,15.6,5.4,89,96,335,55,19,42,0.2,36,0.7,1.82,4.38,11.68,6.45,6.09,2.77,82.2,60.6,9.9
13,3,2,1,53.7,47.6,6.1,27.1,3.3,23.8,18.3,5.5,3.3,116.2,25.4,99.4,21.7,16.8,3.7,112.8,46.8,162.04,25.7,111.2,33.6,0.62,23.1,5.1,79,69,298,69,21,25,0.2,31,0.89,1.98,4.65,14.66,7.28,4.32,2.57,102.1,58.1,13.4
13,3,2,2,20.4,12.8,7.6,13.2,6.8,6.4,1.7,4.7,4.09,126,27.5,111.3,24.3,14.7,3.2,91.2,37.9,139.08,19.3,138.7,20.37,0.88,13.9,5.4,88,85,320,78,18,5,0.2,36,0.69,1.73,4.52,14.05,7.59,4.1,2.75,107.6,58.2,14.2
13,3,2,3,26.8,8.8,18,13.8,9.4,4.4,2.4,2,9.71,150.2,32.8,124.6,27.2,25.6,5.6,120,49.8,172.98,26.4,110.5,11.74,1.21,23.9,5.8,80,82,329,58,21,15,0.2,34,0.62,1.71,4.84,16.79,8.27,5.67,2.64,60.4,62.3,11
